Акционеры Yandex N.V. одобрили продажу бизнеса в России. Что это значит | Акционеры нидерландской Yandex N.V. одобрили продажу российского «Яндекса» консорциуму инвесторов. Сумма сделки составит 475 млрд руб
Нейросети для «чайников»: кто и зачем учит работать с чат-ботами | «Яндекс», «Сбер» и другие компании активно запускают курсы по нейросетям для непрофессионалов. Такие программы начали массово появляться после запуска ChatGPT, хотя пока они почти и не влияют на поиск работы или зарплаты
Доля пользователей Telegram достигла почти половины населения России | Суточный охват Telegram среди аудитории старше 12 лет за год вырос почти на 20%, подсчитали в Mediascope. Как мессенджер он уступает главному конкуренту — WhatsApp, но уже заменяет классические СМИ и может стать аналогом WeChat
